V1,V2
Direct,22781
Direct-Social,3311
Direct-Display,906
Direct-Affiliate,1156
Direct-Paid Search,5969
Direct-Organic Search,692
Direct-Display-Direct,396
Direct-Display-Social,316
Direct-Display-Affiliate,87
Direct-Display-Paid Search,613
Direct-Display-Organic Search,245
Direct-Affiliate-Direct,446
Direct-Affiliate-Social,229
Direct-Affiliate-Display,91
Direct-Affiliate-Paid Search,776
Direct-Affiliate-Organic Search,48
Direct-Paid Search-Direct,3892
Direct-Paid Search-Social,3250
Direct-Paid Search-Display,531
Direct-Paid Search-Affiliate,252
Direct-Paid Search-Organic Search,476
Direct-Organic Search-Direct,521
Direct-Organic Search-Social,39
Direct-Organic Search-Display,7
Direct-Organic Search-Affiliate,8
Direct-Organic Search-Paid Search,536
Direct-Display-Direct-Social,83
Direct-Display-Direct-Display,71
Direct-Display-Direct-Affiliate,39
Direct-Display-Direct-Paid Search,159
Direct-Display-Direct-Organic Search,24
Direct-Display-Affiliate-Direct,32
Direct-Display-Affiliate-Social,13
Direct-Display-Affiliate-Display,21
Direct-Display-Affiliate-Paid Search,33
Direct-Display-Affiliate-Organic Search,6
Direct-Display-Paid Search-Direct,252
Direct-Display-Paid Search-Social,304
Direct-Display-Paid Search-Display,258
Direct-Display-Paid Search-Affiliate,25
Direct-Display-Paid Search-Organic Search,69
Direct-Display-Organic Search-Direct,119
Direct-Display-Organic Search-Social,20
Direct-Display-Organic Search-Display,13
Direct-Display-Organic Search-Affiliate,1
Direct-Display-Organic Search-Paid Search,276
Direct-Affiliate-Direct-Social,99
Direct-Affiliate-Direct-Display,28
Direct-Affiliate-Direct-Affiliate,130
Direct-Affiliate-Direct-Paid Search,172
Direct-Affiliate-Direct-Organic Search,31
Direct-Affiliate-Display-Direct,33
Direct-Affiliate-Display-Social,42
Direct-Affiliate-Display-Affiliate,15
Direct-Affiliate-Display-Paid Search,61
Direct-Affiliate-Display-Organic Search,20
Direct-Affiliate-Paid Search-Direct,315
Direct-Affiliate-Paid Search-Social,881
Direct-Affiliate-Paid Search-Display,84
Direct-Affiliate-Paid Search-Affiliate,190
Direct-Affiliate-Paid Search-Organic Search,77
Direct-Affiliate-Organic Search-Direct,25
Direct-Affiliate-Organic Search-Social,5
Direct-Affiliate-Organic Search-Affiliate,1
Direct-Affiliate-Organic Search-Paid Search,39
Direct-Paid Search-Direct-Social,721
Direct-Paid Search-Direct-Display,154
Direct-Paid Search-Direct-Affiliate,201
Direct-Paid Search-Direct-Paid Search,2369
Direct-Paid Search-Direct-Organic Search,189
Direct-Paid Search-Display-Direct,198
Direct-Paid Search-Display-Social,239
Direct-Paid Search-Display-Affiliate,52
Direct-Paid Search-Display-Paid Search,526
Direct-Paid Search-Display-Organic Search,175
Direct-Paid Search-Affiliate-Direct,120
Direct-Paid Search-Affiliate-Social,74
Direct-Paid Search-Affiliate-Display,23
Direct-Paid Search-Affiliate-Paid Search,189
Direct-Paid Search-Affiliate-Organic Search,13
Direct-Paid Search-Organic Search-Direct,281
Direct-Paid Search-Organic Search-Social,37
Direct-Paid Search-Organic Search-Display,5
Direct-Paid Search-Organic Search-Affiliate,3
Direct-Paid Search-Organic Search-Paid Search,594
Direct-Organic Search-Direct-Social,69
Direct-Organic Search-Direct-Display,26
Direct-Organic Search-Direct-Affiliate,25
Direct-Organic Search-Direct-Paid Search,253
Direct-Organic Search-Direct-Organic Search,78
Direct-Organic Search-Display-Direct,2
Direct-Organic Search-Display-Social,4
Direct-Organic Search-Display-Paid Search,14
Direct-Organic Search-Display-Organic Search,4
Direct-Organic Search-Affiliate-Direct,2
Direct-Organic Search-Affiliate-Social,3
Direct-Organic Search-Affiliate-Display,4
Direct-Organic Search-Affiliate-Paid Search,7
Direct-Organic Search-Paid Search-Direct,189
Direct-Organic Search-Paid Search-Social,257
Direct-Organic Search-Paid Search-Display,33
Direct-Organic Search-Paid Search-Affiliate,12
Direct-Organic Search-Paid Search-Organic Search,192
Direct-Display-Direct-Display-Direct,72
Direct-Display-Direct-Display-Social,42
Direct-Display-Direct-Display-Affiliate,11
Direct-Display-Direct-Display-Paid Search,71
Direct-Display-Direct-Display-Organic Search,23
Direct-Display-Direct-Affiliate-Direct,9
Direct-Display-Direct-Affiliate-Social,6
Direct-Display-Direct-Affiliate-Display,7
Direct-Display-Direct-Affiliate-Paid Search,22
Direct-Display-Direct-Paid Search-Direct,124
Direct-Display-Direct-Paid Search-Social,110
Direct-Display-Direct-Paid Search-Display,60
Direct-Display-Direct-Paid Search-Affiliate,8
Direct-Display-Direct-Paid Search-Organic Search,25
Direct-Display-Direct-Organic Search-Direct,23
Direct-Display-Direct-Organic Search-Social,1
Direct-Display-Direct-Organic Search-Display,2
Direct-Display-Direct-Organic Search-Paid Search,29
Direct-Display-Affiliate-Direct-Social,9
Direct-Display-Affiliate-Direct-Display,7
Direct-Display-Affiliate-Direct-Affiliate,7
Direct-Display-Affiliate-Direct-Paid Search,24
Direct-Display-Affiliate-Direct-Organic Search,3
Direct-Display-Affiliate-Display-Direct,12
Direct-Display-Affiliate-Display-Social,22
Direct-Display-Affiliate-Display-Affiliate,3
Direct-Display-Affiliate-Display-Paid Search,26
Direct-Display-Affiliate-Display-Organic Search,8
Direct-Display-Affiliate-Paid Search-Direct,16
Direct-Display-Affiliate-Paid Search-Social,35
Direct-Display-Affiliate-Paid Search-Display,17
Direct-Display-Affiliate-Paid Search-Affiliate,11
Direct-Display-Affiliate-Paid Search-Organic Search,3
Direct-Display-Affiliate-Organic Search-Direct,6
Direct-Display-Affiliate-Organic Search-Paid Search,6
Direct-Display-Paid Search-Direct-Social,78
Direct-Display-Paid Search-Direct-Display,103
Direct-Display-Paid Search-Direct-Affiliate,26
Direct-Display-Paid Search-Direct-Paid Search,276
Direct-Display-Paid Search-Direct-Organic Search,30
Direct-Display-Paid Search-Display-Direct,133
Direct-Display-Paid Search-Display-Social,220
Direct-Display-Paid Search-Display-Affiliate,27
Direct-Display-Paid Search-Display-Paid Search,579
